date,name,type,distance_km,moving_time,elapsed_time,avg_hr,max_hr,elevation_gain_m,elevation_loss_m,min_elevation_m,max_elevation_m,avg_pace_min_km,max_pace_min_km,avg_cadence,calories,training_load,aerobic_training_effect,anaerobic_training_effect,vo2max_estimate,activity_id,start_time
2025-12-30,Track/Road Reps,outdoor,8.01,0:38:26,0:40:26,162.0,187.0,33.0,28.0,158.4,166.2,4:48,1:23,158,652.0,184.6778564453125,4.0,2.5999999046325684,,21391264150,2025-12-30 11:39:37
2025-12-27,LISS,treadmill,4.57,0:30:19,0:30:54,155.0,167.0,,,,,6:37,5:56,153,484.0,83.54302978515625,3.299999952316284,0.0,,21366948559,2025-12-27 18:20:39
2025-12-25,Run: Z2 - 1h,outdoor,10.39,0:59:32,1:00:31,137.0,145.0,14.0,5.0,33.0,48.4,5:43,5:01,152,616.0,32.383148193359375,2.299999952316284,0.0,,21350104396,2025-12-25 20:49:24
2025-12-23,Running,outdoor,6.12,0:29:37,0:29:51,159.0,185.0,29.0,22.0,10.6,24.8,4:50,3:11,163,471.0,128.62974548339844,3.5,2.200000047683716,,21334881900,2025-12-23 20:31:17
2025-12-21,Running,outdoor,1.91,0:09:41,0:09:51,,,8.0,5.0,41.8,51.2,5:03,4:10,166,180.0,14.399093627929688,1.399999976158142,0.0,,21317301157,2025-12-21 18:03:20
2025-12-21,Running,outdoor,8.25,0:40:24,0:41:00,175.0,194.0,78.0,68.0,35.2,68.8,4:53,3:47,166,736.0,224.9669647216797,5.0,0.20000000298023224,,21315540872,2025-12-21 14:58:40
2025-12-19,Running,outdoor,7.17,0:39:11,0:40:08,,,30.0,39.0,43.6,66.6,5:27,4:09,155,668.0,0.0,0.0,0.0,,21296697336,2025-12-19 10:59:26
2025-12-12,Running,outdoor,2.66,0:13:23,0:13:50,,,2.0,2.0,150.0,152.6,5:02,3:55,167,250.0,0.0,0.0,0.0,,21235891560,2025-12-12 15:32:37
2025-12-02,Running,outdoor,5.02,0:26:35,0:26:53,,,2.0,,162.2,164.6,5:17,4:51,161,470.0,0.0,0.0,0.0,,21146592554,2025-12-02 15:03:33
2025-11-30,Running,outdoor,8.01,0:43:26,0:44:42,,,3.0,3.0,158.8,184.2,5:25,4:28,156,746.0,0.0,0.0,0.0,,21145507373,2025-11-30 17:05:12
2025-11-24,Treadmill Running,treadmill,2.89,0:29:09,0:39:55,,,,,,,10:05,8:09,87,179.0,0.0,0.0,0.0,,21083155388,2025-11-24 21:47:36
2025-11-16,Treadmill Running,treadmill,5.2,0:46:29,0:47:50,,,,,,,8:56,4:44,119,322.0,2.8125152587890625,0.20000000298023224,0.0,,21001603856,2025-11-16 12:18:29
2025-11-12,Treadmill Running,treadmill,5.0,0:35:29,0:36:00,131.0,150.0,,,,,7:05,4:30,142,479.0,16.045379638671875,1.399999976158142,0.10000000149011612,,20964565462,2025-11-12 13:14:09
2025-11-10,Treadmill Running,treadmill,5.11,0:36:57,0:37:00,130.0,167.0,,,,,7:14,6:05,140,400.0,31.23114013671875,2.0999999046325684,0.699999988079071,,20944670336,2025-11-10 13:41:27
2025-10-05,Furesø Running,outdoor,13.01,1:16:35,1:19:20,147.0,170.0,139.0,138.0,24.0,50.4,5:53,3:46,150,1107.0,101.66087341308594,3.5,0.0,54.0,20594710708,2025-10-05 11:07:50
2025-10-03,Copenhagen Running,outdoor,7.35,0:36:42,0:36:43,158.0,173.0,21.0,20.0,9.4,22.4,4:59,4:05,160,596.0,107.43943786621094,3.5,0.0,55.0,20579388978,2025-10-03 18:44:22
2025-09-28,Copenhagen Running,outdoor,8.02,0:36:49,0:37:24,164.0,182.0,20.0,18.0,5.8,16.4,4:35,2:36,162,639.0,147.22547912597656,3.9000000953674316,0.30000001192092896,55.0,20524748970,2025-09-28 12:13:27
2025-09-21,Copenhagen Running,outdoor,3.42,0:19:59,0:21:01,119.0,144.0,10.0,12.0,8.4,17.0,5:50,3:53,146,262.0,25.311355590820312,2.0,0.0,,20452743081,2025-09-21 10:13:23
2025-09-20,Copenhagen Running,outdoor,2.78,0:16:16,0:17:53,123.0,141.0,8.0,5.0,14.2,20.6,5:51,4:25,139,227.0,25.2208251953125,2.0,0.0,,20441681194,2025-09-20 09:05:00
2025-09-17,Treadmill Running,treadmill,1.44,0:14:21,0:15:21,116.0,143.0,,,,,9:55,6:06,108,136.0,11.2266845703125,0.800000011920929,0.0,,20417286793,2025-09-17 18:59:03
2025-09-14,Copenhagen - HM 1:30,outdoor,21.13,1:31:08,1:31:37,183.0,191.0,43.0,44.0,7.8,26.6,4:18,2:48,168,1713.0,471.9599914550781,5.0,2.5999999046325684,55.0,20386395611,2025-09-14 18:22:19
2025-09-07,Copenhagen Running,outdoor,8.0,0:49:58,0:51:43,146.0,160.0,45.0,36.0,4.4,35.4,6:14,4:59,144,717.0,68.1373291015625,2.799999952316284,0.0,55.0,20308820686,2025-09-07 12:41:10
2025-09-06,Copenhagen - 1:30 HM Sim (10km),outdoor,10.02,0:42:06,0:42:09,176.0,193.0,19.0,20.0,8.6,20.8,4:12,2:46,172,779.0,273.9517822265625,4.599999904632568,2.200000047683716,55.0,20303378786,2025-09-06 22:28:30
2025-09-05,Treadmill Running,treadmill,4.32,0:29:37,0:29:59,133.0,151.0,,,,,6:51,5:37,146,343.0,35.28291320800781,2.200000047683716,0.0,,20289643278,2025-09-05 16:04:23
2025-08-31,Frederiksberg Running,outdoor,8.42,0:52:21,0:53:52,142.0,178.0,42.0,49.0,3.6,36.2,6:13,4:16,135,714.0,72.41911315917969,2.9000000953674316,0.0,55.0,20234027037,2025-08-31 11:36:36
2025-08-30,Copenhagen - PRGRSV 14 @ 5:10~>4:18,outdoor,10.01,0:48:44,0:48:54,173.0,195.0,78.0,79.0,9.8,36.6,4:52,3:21,161,856.0,220.3950958251953,4.099999904632568,2.0,55.0,20226228008,2025-08-30 15:54:20
2025-08-27,Copenhagen Running,outdoor,5.14,0:21:57,0:21:59,184.0,197.0,4.0,8.0,10.2,18.8,4:16,3:41,171,418.0,156.32894897460938,3.700000047683716,0.699999988079071,55.0,20198337249,2025-08-27 20:19:50
2025-08-27,Copenhagen - 5k - 19 min - 3:48 m/km,outdoor,5.28,0:20:35,0:20:38,189.0,206.0,9.0,9.0,11.8,18.8,3:53,2:58,174,421.0,272.51885986328125,4.0,3.0999999046325684,55.0,20196738580,2025-08-27 18:16:59
2025-08-24,Copenhagen - 10 km @ 1:30 HM Pace (4:16),outdoor,10.1,0:43:01,0:43:03,177.0,193.0,20.0,15.0,8.8,18.4,4:15,3:03,174,809.0,295.98675537109375,4.900000095367432,2.4000000953674316,55.0,20166336754,2025-08-24 20:36:00
2025-08-23,Copenhagen Running,outdoor,17.34,1:41:16,1:43:10,138.0,190.0,132.0,132.0,8.2,36.0,5:50,4:19,149,1428.0,112.66734313964844,3.4000000953674316,0.10000000149011612,55.0,20149991254,2025-08-23 11:01:07
2025-08-20,Copenhagen - 3x2k < 4:10,outdoor,8.49,0:37:59,0:38:26,161.0,180.0,29.0,25.0,10.0,23.8,4:28,3:09,168,646.0,172.2070770263672,3.700000047683716,2.200000047683716,55.0,20121931725,2025-08-20 17:40:14
2025-08-18,Copenhagen Running,outdoor,8.35,0:54:51,0:56:10,126.0,143.0,15.0,12.0,9.8,19.6,6:34,3:15,143,676.0,45.600250244140625,2.4000000953674316,0.0,,20102226364,2025-08-18 21:48:37
2025-08-16,Vordingborg Running,outdoor,29.3,3:40:49,4:08:50,146.0,188.0,926.0,921.0,1.6,147.2,7:32,3:17,121,2872.0,222.41676330566406,4.400000095367432,1.2000000476837158,55.0,20076728209,2025-08-16 09:32:51
2025-08-14,Copenhagen Running,outdoor,9.07,0:56:38,0:57:37,141.0,157.0,27.0,24.0,9.8,23.2,6:14,4:09,153,760.0,58.98931884765625,2.700000047683716,0.0,55.0,20052182118,2025-08-14 06:06:31
2025-08-12,Copenhagen - 4x1200 @ <4:05,outdoor,7.6,0:36:53,0:37:04,162.0,190.0,11.0,7.0,11.4,15.4,4:51,3:08,165,618.0,171.32679748535156,3.700000047683716,2.0999999046325684,55.0,20029741802,2025-08-12 06:17:26
2025-08-10,Copenhagen Running,outdoor,8.01,0:51:45,0:51:53,132.0,143.0,14.0,13.0,10.2,17.0,6:27,4:31,153,646.0,45.30986022949219,2.4000000953674316,0.0,55.0,20008314024,2025-08-10 06:09:14
2025-08-09,Copenhagen Running,outdoor,10.26,0:46:44,0:46:46,168.0,190.0,31.0,28.0,10.8,23.4,4:33,3:42,170,825.0,212.17808532714844,4.5,0.0,55.0,19997855148,2025-08-09 06:27:11
2025-08-07,Copenhagen - 8/10 k easy <5:15,outdoor,8.39,0:45:55,0:46:42,154.0,170.0,27.0,22.0,11.0,26.0,5:28,3:35,64,717.0,103.31637573242188,3.299999952316284,0.0,55.0,19977073141,2025-08-07 06:19:03
2025-08-05,Copenhagen - 6x800 < 4:00,outdoor,6.95,0:34:26,0:35:09,162.0,192.0,23.0,20.0,6.6,19.6,4:57,2:29,161,587.0,269.217529296875,3.9000000953674316,3.5999999046325684,55.0,19954364293,2025-08-05 06:07:51
2025-08-02,Vordingborg Running,outdoor,10.87,0:56:11,0:56:14,150.0,181.0,72.0,77.0,11.4,34.0,5:10,4:12,162,868.0,130.94090270996094,3.700000047683716,0.0,55.0,19925151421,2025-08-02 12:34:38
2025-07-31,Vordingborg Running,outdoor,10.01,0:45:02,0:45:06,171.0,189.0,72.0,70.0,9.2,34.6,4:29,3:33,168,812.0,230.25173950195312,4.599999904632568,1.2999999523162842,55.0,19908085262,2025-07-31 17:59:12
2025-07-27,Copenhagen Running,outdoor,8.15,0:55:06,0:57:06,133.0,144.0,25.0,20.0,9.4,21.6,6:45,5:23,142,693.0,46.18791198730469,2.4000000953674316,0.0,,19868060882,2025-07-27 20:01:55
2025-07-24,Rødovre Running,outdoor,0.91,0:06:25,0:08:37,152.0,174.0,1.0,,10.8,12.4,7:03,5:44,100,130.0,22.549942016601562,1.7999999523162842,0.0,,19834558855,2025-07-24 15:41:06
2025-07-24,Rødovre Running,outdoor,6.98,0:33:12,0:35:22,167.0,194.0,,,12.0,12.4,4:45,2:51,152,604.0,208.99627685546875,3.9000000953674316,2.700000047683716,55.0,19834472560,2025-07-24 15:03:05
2025-07-22,Copenhagen Running,outdoor,5.57,0:32:59,0:33:01,130.0,142.0,15.0,14.0,10.8,19.6,5:55,4:41,153,432.0,35.61457824707031,2.200000047683716,0.0,,19815507468,2025-07-22 19:17:28
2025-07-20,Frederiksberg Running,outdoor,11.51,1:04:39,1:04:42,165.0,180.0,35.0,36.0,18.4,36.4,5:36,4:41,158,1034.0,146.21224975585938,3.9000000953674316,0.0,55.0,19788587415,2025-07-20 08:02:51
2025-07-18,Copenhagen Running,outdoor,6.11,0:27:59,0:28:12,154.0,175.0,34.0,35.0,9.8,33.6,4:35,3:05,163,471.0,105.94889831542969,3.4000000953674316,0.20000000298023224,56.0,19772347652,2025-07-18 15:24:26
2025-07-16,Copenhagen Running,outdoor,5.01,0:21:15,0:21:36,151.0,186.0,9.0,10.0,11.4,16.4,4:14,3:26,165,351.0,95.23527526855469,3.200000047683716,0.699999988079071,55.0,19752155376,2025-07-16 16:05:06
2025-07-12,Copenhagen Running,outdoor,13.07,1:18:15,1:20:47,151.0,168.0,39.0,43.0,2.0,12.6,5:59,3:58,148,1132.0,105.89384460449219,3.299999952316284,0.0,54.0,19707799735,2025-07-12 10:20:52
2025-07-10,Copenhagen Running,outdoor,6.01,0:28:03,0:28:24,166.0,183.0,19.0,16.0,7.4,21.4,4:39,3:48,158,481.0,129.6602783203125,3.5999999046325684,0.0,54.0,19692395914,2025-07-10 19:05:19
2025-07-08,Copenhagen Running,outdoor,7.24,0:39:36,0:42:13,142.0,169.0,18.0,20.0,10.4,21.8,5:28,3:50,142,575.0,81.97434997558594,3.0999999046325684,0.0,53.0,19669934130,2025-07-08 16:38:24
2025-07-03,Running,outdoor,7.23,0:38:05,0:38:56,169.0,181.0,77.0,84.0,1307.2,1365.2,5:16,4:22,150,634.0,141.05184936523438,3.799999952316284,0.0,51.0,19619944786,2025-07-03 16:46:27
2025-07-01,Running,outdoor,5.08,0:27:09,0:27:48,154.0,175.0,69.0,73.0,1351.4,1399.6,5:21,4:22,153,420.0,82.57809448242188,3.0999999046325684,0.0,52.0,19600957514,2025-07-01 19:26:51
2025-06-28,Naro-Fominskiy rayon Running,outdoor,11.3,1:05:22,1:08:08,161.0,182.0,143.0,138.0,160.0,206.6,5:47,3:16,138,1040.0,163.8595733642578,4.099999904632568,0.20000000298023224,52.0,19570191477,2025-06-28 15:09:47
2025-06-25,Running,outdoor,8.4,0:52:14,1:01:09,148.0,172.0,65.0,58.0,163.6,221.6,6:13,4:32,137,805.0,97.81489562988281,3.4000000953674316,0.4000000059604645,,19540350491,2025-06-25 13:59:37
2025-06-21,Furesø Running,outdoor,11.62,1:15:11,1:15:14,164.0,181.0,227.0,234.0,25.6,55.4,6:28,3:47,154,1115.0,147.2261505126953,4.099999904632568,0.0,52.0,19499202946,2025-06-21 10:36:02
2025-06-18,Copenhagen Running,outdoor,8.45,0:41:02,0:42:14,157.0,192.0,26.0,28.0,8.8,18.6,4:51,2:22,155,653.0,186.5681610107422,4.0,2.5,52.0,19475165404,2025-06-18 21:59:49
2025-06-15,Tårnby Running,outdoor,21.31,1:51:25,1:51:53,175.0,200.0,116.0,129.0,-20.8,52.0,5:13,3:51,163,1895.0,452.5748291015625,5.0,1.899999976158142,51.0,19439753882,2025-06-15 10:44:32
2025-06-11,Copenhagen Running,outdoor,10.02,0:53:12,0:53:41,158.0,173.0,16.0,18.0,7.6,23.2,5:18,4:27,155,848.0,158.00729370117188,4.199999809265137,0.0,51.0,19404198457,2025-06-11 20:42:31
2025-01-01,Treadmill Running,treadmill,2.66,0:12:28,0:12:29,,,,,,,4:40,3:59,164,257.0,0.0,0.0,0.0,,17892422421,2025-01-01 23:33:27
2024-12-17,Treadmill Running,treadmill,4.33,0:31:25,0:35:37,,,,,,,7:15,2:14,121,390.0,0.1891021728515625,0.0,0.0,,17782827462,2024-12-17 21:01:00
2024-12-09,Hill Intervals,treadmill,1.19,0:11:30,0:15:31,,,,,,,9:38,2:26,122,106.0,0.0,0.0,0.0,,17725178559,2024-12-09 21:32:11
2024-12-07,Treadmill Running,treadmill,3.59,0:24:50,0:25:06,,,,,,,6:54,6:01,147,335.0,1.3695526123046875,0.10000000149011612,0.0,,17709659665,2024-12-07 16:43:43
2024-12-02,Treadmill Running,treadmill,4.07,0:30:10,0:30:11,,,,,,,7:25,5:27,145,347.0,0.0,0.0,0.0,,17709659006,2024-12-02 19:54:03
2024-11-26,Treadmill Running,treadmill,6.57,0:31:42,0:31:43,,,,,,,4:49,3:11,161,614.0,0.0,0.0,0.0,,17628522839,2024-11-26 18:05:49
